Correct_Word,Incorrect_Word,Error_Type,Letter_Count,Difficulty_Level
catch,cach,Letter-Phoneme Correspondence,5,2
kitten,kiten,Omission of Letters,6,3
chemistry,kemistry,Letter-Phoneme Correspondence,9,4
office,ofice,Omission of Letters,6,3
bridge,brij,Letter-Phoneme Correspondence,6,3
sight,site,Letter-Phoneme Correspondence,5,2
clock,clocK,Transpositions,5,2
bad,badd,Addition of Letters,3,1
pink,pnik,Transpositions,4,2
right,rite,Letter-Phoneme Correspondence,5,2
house,huose,Transpositions,5,2
beetle,betle,Omission of Letters,6,3
walk,wak,Silent Letters,4,2
ladder,lader,Omission of Letters,6,3
apple,appel,Transpositions,5,2
when,wen,Letter-Phoneme Correspondence,4,2
sheep,seep,Letter-Phoneme Correspondence,5,2
car,cra,Transpositions,3,1
butter,buttter,Addition of Letters,6,3
shell,sel,Letter-Phoneme Correspondence,5,2
shop,sop,Letter-Phoneme Correspondence,4,2
race,rase,Letter-Phoneme Correspondence,4,2
daughter,daughetr,Transpositions,8,4
fudge,fuj,Letter-Phoneme Correspondence,5,2
ball,balll,Addition of Letters,4,2
stalk,stak,Silent Letters,5,2
write,rite,Silent Letters,5,2
we,wee,Addition of Letters,2,1
hat,hta,Transpositions,3,1
lamb,lam,Silent Letters,4,2
judge,juj,Letter-Phoneme Correspondence,5,2
apple,aple,Omission of Letters,5,2
ball,blal,Transpositions,4,2
island,iland,Silent Letters,6,3
fight,fite,Letter-Phoneme Correspondence,5,2
hospital,hospiatl,Transpositions,8,4
green,greeen,Addition of Letters,5,2
knuckle,nukle,Silent Letters,7,3
bathroom,bathrom,Omission of Letters,8,4
kitchen,kichen,Letter-Phoneme Correspondence,7,3
hand,hadn,Transpositions,4,2
puppet,pupit,Omission of Letters,6,3
picture,picturre,Addition of Letters,7,3
book,bookk,Addition of Letters,4,2
knot,not,Silent Letters,4,2
school,scool,Omission of Letters,6,3
white,wite,Letter-Phoneme Correspondence,5,2
blue,bluee,Addition of Letters,4,2
kitchen,kitcehn,Transpositions,7,3
dog,dgo,Transpositions,3,1
light,lite,Letter-Phoneme Correspondence,5,2
salmon,samon,Silent Letters,6,3
rain,rane,Letter-Phoneme Correspondence,4,2
physics,fiziks,Letter-Phoneme Correspondence,7,3
monkey,monkeey,Addition of Letters,6,3
shark,sharck,Addition of Letters,5,2
condemn,condem,Silent Letters,7,3
little,litle,Omission of Letters,6,3
milk,mikl,Transpositions,4,2
right,rite,Silent Letters,5,2
ship,sip,Letter-Phoneme Correspondence,4,2
food,fodo,Transpositions,4,2
orange,orangge,Addition of Letters,6,3
at,att,Addition of Letters,2,1
money,moeny,Transpositions,5,2
ticket,tickte,Transpositions,6,3
rhythm,rithm,Silent Letters,6,3
kitchen,kitchhen,Addition of Letters,7,3
pencil,pencill,Addition of Letters,6,3
prince,prins,Letter-Phoneme Correspondence,6,3
summer,sumer,Omission of Letters,6,3
wrong,rong,Silent Letters,5,2
hat,hatt,Addition of Letters,3,1
and,andd,Addition of Letters,3,1
three,thre,Omission of Letters,5,2
cake,caek,Transpositions,4,2
holiday,holliday,Addition of Letters,7,3
nice,nise,Letter-Phoneme Correspondence,4,2
wreck,reck,Silent Letters,5,2
chocolate,choclotae,Transpositions,9,4
tree,tere,Transpositions,4,2
bounce,bouns,Letter-Phoneme Correspondence,6,3
talk,tak,Silent Letters,4,2
run,rnu,Transpositions,3,1
safari,safary,Letter-Phoneme Correspondence,6,3
cook,cok,Omission of Letters,4,2
puppy,pupy,Omission of Letters,5,2
hammer,hamer,Omission of Letters,6,3
school,schooll,Addition of Letters,6,3
ocean,oshen,Letter-Phoneme Correspondence,5,2
picture,pictuer,Transpositions,7,3
paper,paepr,Transpositions,5,2
knack,nak,Silent Letters,5,2
wrap,rap,Silent Letters,4,2
